Datetime	        Return	        TC	        PWMA	        CFO
2025-05-28 00:00:00	-0.010939	0.881897	108756.290253	-1.236449
2025-05-29 00:00:00	-0.020042	0.887582	108670.141357	-1.870859
2025-05-30 00:00:00	-0.015554	0.891967	108692.790863	-1.701858
2025-05-31 00:00:00	0.006149	0.891535	108473.931534	-0.221085
2025-06-01 00:00:00	0.009691	0.882753	107768.246689	0.622298
2025-06-02 00:00:00	0.002172	0.847146	106714.979019	1.162728
2025-06-03 00:00:00	-0.004241	0.780521	105740.868057	1.047133
2025-06-04 00:00:00	-0.006644	0.721978	105221.756119	0.563327
2025-06-05 00:00:00	-0.030134	0.670050	105172.938873	-1.580156
2025-06-06 00:00:00	0.027707	0.615868	105255.111374	0.822159
2025-06-07 00:00:00	0.011737	0.556762	105094.317413	1.227562
2025-06-08 00:00:00	0.001686	0.483675	104630.377930	0.887410
2025-06-09 00:00:00	0.042540	0.345955	104202.652237	3.341792
2025-06-10 00:00:00	-0.000334	0.253422	104270.669617	1.926113
2025-06-11 00:00:00	-0.014245	0.175336	105032.252289	-0.299865
2025-06-12 00:00:00	-0.025372	0.104812	106307.003159	-2.728445
2025-06-13 00:00:00	0.001529	0.079014	107635.772629	-2.355116
2025-06-14 00:00:00	-0.005830	0.095851	108442.968628	-2.368098
2025-06-15 00:00:00	0.000755	0.091057	108373.539597	-1.093817
2025-06-16 00:00:00	0.011793	0.071254	107611.215652	0.540947
2025-06-17 00:00:00	-0.020559	0.049193	106713.334686	-0.464339
2025-06-18 00:00:00	0.002698	0.017782	106108.789429	0.705829
2025-06-19 00:00:00	-0.001898	0.004638	105835.555588	0.577032
2025-06-20 00:00:00	-0.013132	0.000150	105673.268387	-0.514517
2025-06-21 00:00:00	-0.010185	0.009002	105412.371887	-1.022923
2025-06-22 00:00:00	-0.012422	0.042915	104990.455017	-1.127774
2025-06-23 00:00:00	0.045458	0.115420	104425.532623	2.596478
2025-06-24 00:00:00	0.004431	0.165412	103771.870361	2.294142
2025-06-25 00:00:00	0.012406	0.249622	103250.823242	2.359315
2025-06-26 00:00:00	-0.003737	0.319747	103248.812469	0.845751
2025-06-27 00:00:00	0.001201	0.269283	103956.163574	0.195721
2025-06-28 00:00:00	0.002234	0.187393	105084.444443	-0.352204
2025-06-29 00:00:00	0.009856	0.134215	106115.474365	-0.313079
2025-06-30 00:00:00	-0.011535	0.089631	106769.695374	-1.586806
2025-07-01 00:00:00	-0.013413	0.040219	107118.362457	-2.206275
2025-07-02 00:00:00	0.029906	0.006026	107319.278000	0.903805
2025-07-03 00:00:00	0.007245	0.005073	107406.339264	1.063571
2025-07-04 00:00:00	-0.014717	0.025917	107400.006363	-0.340564
2025-07-05 00:00:00	0.001822	0.024946	107476.615463	-0.290307
2025-07-06 00:00:00	0.009248	0.034626	107795.943588	0.297996
2025-07-07 00:00:00	-0.008534	0.055897	108228.203384	-0.505640
2025-07-08 00:00:00	0.006006	0.073385	108510.387817	-0.040890
2025-07-09 00:00:00	0.021811	0.096545	108600.406204	1.114199
2025-07-10 00:00:00	0.041865	0.125183	108682.298065	3.112532
2025-07-11 00:00:00	0.013189	0.129982	108996.775803	2.630076
2025-07-12 00:00:00	-0.000696	0.102999	109822.943726	0.852022
2025-07-13 00:00:00	0.014313	0.128302	111359.584564	0.337815
2025-07-14 00:00:00	0.006159	0.195097	113426.681992	-0.465035
2025-07-15 00:00:00	-0.017293	0.262009	115484.889740	-2.548977
2025-07-16 00:00:00	0.008162	0.405633	117075.369644	-2.041989
2025-07-17 00:00:00	0.004643	0.544787	118083.233322	-1.460820
2025-07-18 00:00:00	-0.010786	0.642605	118592.885437	-1.681911
2025-07-19 00:00:00	-0.000536	0.692381	118743.141403	-0.816559
2025-07-20 00:00:00	-0.005420	0.740458	118707.403381	-0.739905
2025-07-21 00:00:00	0.001183	0.777111	118594.106384	-0.235936
2025-07-22 00:00:00	0.021763	0.806956	118393.440262	1.550114
2025-07-23 00:00:00	-0.010338	0.845078	118131.688507	0.364510
2025-07-24 00:00:00	-0.003258	0.852821	117979.266541	-0.146632
2025-07-25 00:00:00	-0.006185	0.858279	118090.710724	-0.457823
2025-07-26 00:00:00	0.002648	0.869444	118380.006729	-0.142044
2025-07-27 00:00:00	0.012727	0.863419	118571.364319	0.603725
2025-07-28 00:00:00	-0.012759	0.848200	118513.786377	-0.528192
2025-07-29 00:00:00	-0.000020	0.825436	118345.633789	-0.369761
2025-07-30 00:00:00	-0.000771	0.807117	118275.514420	-0.152368
2025-07-31 00:00:00	-0.017593	0.798470	118301.606964	-1.026074
2025-08-01 00:00:00	-0.021062	0.778101	118238.396057	-2.048843
2025-08-02 00:00:00	-0.006999	0.749934	117912.240250	-1.468809
2025-08-03 00:00:00	0.015025	0.715882	117226.672501	0.572303
